1m	70344	0.0428321
2m	91823	0.0559106
3m	109533	0.0666941
4m	135607	0.0825704
5m	139197	0.0847564
6m	136158	0.0829059
7m	109572	0.0667179
8m	92630	0.056402
9m	70943	0.0431968
1p	69655	0.0424126
2p	91829	0.0559142
3p	108893	0.0663044
4p	135300	0.0823835
5p	138614	0.0844014
6p	135915	0.082758
7p	109532	0.0666935
8p	92426	0.0562777
9p	70518	0.0429381
1s	69228	0.0421526
2s	90488	0.0550977
3s	107980	0.0657485
4s	134383	0.0818252
5s	137288	0.083594
6s	134922	0.0821533
7s	108657	0.0661607
8s	91634	0.0557955
9s	69608	0.042384
東	17202	0.0104742
南	16972	0.0103342
西	15971	0.00972466
北	16171	0.00984644
白	18733	0.0114064
發	18272	0.0111257
中	18640	0.0113498
	1642319
